Serial Number:,PSY1I604
APP Serial #:,030006D2
Head Serial #:,2889
App Ver:,R1-7-8
COM Ver:,R2-6-6
Instrument Name:,psyaspen 
Instrument Comment:,
Cooling Time:,40,seconds
Waiting Time:,10,seconds
Warming Duration:,5,seconds
Wait before measurement:,15,seconds
Chamber Heating Duration:,45,seconds
Chamber Heating Schedule:,21:00 - 08:00
C1:,0.0270
C2:,0.3250
Date,Time,Chamber Temperature (°C),dT (µV),Wet Bulb Depression (µV),Corrected Water Potential (MPa),Intercept,Slope,EDBO,Correction for dT (MPa),Correction Factor,Internal Battery Voltage (V),Internal Battery Temperature (°C),External Power Supply Present,External Power Supply Voltage (V),External Power Supply Current (mA),Diagnostic Comment
14/06/2019,11:30:00,11.77,-0.190,13.248,-4.96,1.01,-3.97,-0.667,-0.02,8.689,4.08,22.70 ,present ,20.79 ,38.70 ,
14/06/2019,12:00:00,12.68,-0.128,16.298,-5.91,1.01,-3.97,-0.529,-0.01,8.654,4.09,20.40 ,present ,19.84 ,39.59 ,
14/06/2019,12:30:00,13.03,-0.424,21.979,-7.98,1.01,-3.97,-0.278,-0.06,8.639,4.09,19.29 ,present ,21.04 ,38.09 ,
14/06/2019,13:00:00,12.47,-0.445,7.466,-2.65,1.01,-3.97,-0.099,-0.06,8.662,4.10,17.70 ,present ,20.83 ,38.70 ,
14/06/2019,13:30:00,11.40,-0.463,1.468,-0.39,1.01,-3.97,-0.293,-0.06,8.700,4.11,16.70 ,present ,21.91 ,36.59 ,
14/06/2019,14:00:00,11.48,-0.494,5.262,-1.90,1.01,-3.97,-0.187,-0.07,8.700,4.11,17.90 ,present ,22.79 ,36.00 ,
14/06/2019,14:30:00,13.82,-0.207,21.698,-7.60,1.01,-3.97,-0.358,-0.02,8.608,4.12,20.50 ,present ,21.39 ,37.50 ,
14/06/2019,15:00:00,15.32,-0.064,0.000,0.00,1.01,-3.97,-0.583,0.00,8.551,4.12,21.60 ,present ,21.49 ,37.50 ,
14/06/2019,15:30:00,15.97,-0.420,0.000,0.00,1.01,-3.97,-0.406,-0.05,8.529,4.13,22.90 ,present ,22.13 ,36.59 ,
14/06/2019,16:00:00,15.91,-0.255,0.000,0.00,1.01,-3.97,-0.423,-0.03,8.529,4.14,22.30 ,present ,21.81 ,37.20 ,
