"Serial Number:","PSY1J203",,,,,,,,,,,,,,,
"APP Serial #:","030006D7",,,,,,,,,,,,,,,
"Head Serial #:",3032,,,,,,,,,,,,,,,
"App Ver:","R1-7-8",,,,,,,,,,,,,,,
"COM Ver:","R2-6-7",,,,,,,,,,,,,,,
"Instrument Name:",,,,,,,,,,,,,,,,
"Instrument Comment:",,,,,,,,,,,,,,,,
"Cooling Time:",10,"seconds",,,,,,,,,,,,,,
"Waiting Time:",6,"seconds",,,,,,,,,,,,,,
"Warming Duration:",0,"seconds",,,,,,,,,,,,,,
"Wait before measurement:",15,"seconds",,,,,,,,,,,,,,
"Chamber Heating Duration:",60,"seconds",,,,,,,,,,,,,,
"Chamber Heating Schedule:","continuous ",,,,,,,,,,,,,,,
"C1:",0.027,,,,,,,,,,,,,,,
"C2:",0.325,,,,,,,,,,,,,,,
"Date","Time","Chamber Temperature (�C)","dT (�V)","Wet Bulb Depression (�V)","Corrected Water Potential (MPa)","Intercept","Slope","EDBO","Correction for dT (MPa)","Correction Factor","Internal Battery Voltage (V)","Internal Battery Temperature (�C)","External Power Supply Present","External Power Supply Voltage (V)","External Power Supply Current (mA)","Diagnostic Comment"
"22/09/2019","04:35:30",23.9,-0.182,26.031,-6.81,1,-3.8,-0.255,-0.02,8.237,4.03,28.4,"present ","USB ","USB ",
"Serial Number:","PSY1J203",,,,,,,,,,,,,,,
"APP Serial #:","030006D7",,,,,,,,,,,,,,,
"Head Serial #:",1234,,,,,,,,,,,,,,,
"App Ver:","R1-7-8",,,,,,,,,,,,,,,
"COM Ver:","R2-6-7",,,,,,,,,,,,,,,
"Instrument Name:",,,,,,,,,,,,,,,,
"Instrument Comment:",,,,,,,,,,,,,,,,
"Cooling Time:",10,"seconds",,,,,,,,,,,,,,
"Waiting Time:",6,"seconds",,,,,,,,,,,,,,
"Warming Duration:",0,"seconds",,,,,,,,,,,,,,
"Wait before measurement:",15,"seconds",,,,,,,,,,,,,,
"Chamber Heating Duration:",60,"seconds",,,,,,,,,,,,,,
"Chamber Heating Schedule:","continuous ",,,,,,,,,,,,,,,
"C1:",0.027,,,,,,,,,,,,,,,
"C2:",0.325,,,,,,,,,,,,,,,
"Date","Time","Chamber Temperature (�C)","dT (�V)","Wet Bulb Depression (�V)","Corrected Water Potential (MPa)","Intercept","Slope","EDBO","Correction for dT (MPa)","Correction Factor","Internal Battery Voltage (V)","Internal Battery Temperature (�C)","External Power Supply Present","External Power Supply Voltage (V)","External Power Supply Current (mA)","Diagnostic Comment"
"22/09/2019","04:54:17",23.57,-0.604,18.355,-4.92,1.55,-3.62,-0.138,-0.08,8.251,4.08,28.8,"present ","USB ","USB ",
"Serial Number:","PSY1J203",,,,,,,,,,,,,,,
"APP Serial #:","030006D7",,,,,,,,,,,,,,,
"Head Serial #:",,,,,,,,,,,,,,,,
"App Ver:","R1-7-8",,,,,,,,,,,,,,,
"COM Ver:","R2-6-7",,,,,,,,,,,,,,,
"Instrument Name:",,,,,,,,,,,,,,,,
"Instrument Comment:",,,,,,,,,,,,,,,,
"Cooling Time:",10,"seconds",,,,,,,,,,,,,,
"Waiting Time:",6,"seconds",,,,,,,,,,,,,,
"Warming Duration:",0,"seconds",,,,,,,,,,,,,,
"Wait before measurement:",15,"seconds",,,,,,,,,,,,,,
"Chamber Heating Duration:",60,"seconds",,,,,,,,,,,,,,
"Chamber Heating Schedule:","continuous ",,,,,,,,,,,,,,,
"C1:",0.027,,,,,,,,,,,,,,,
"C2:",0.325,,,,,,,,,,,,,,,
"Date","Time","Chamber Temperature (�C)","dT (�V)","Wet Bulb Depression (�V)","Corrected Water Potential (MPa)","Intercept","Slope","EDBO","Correction for dT (MPa)","Correction Factor","Internal Battery Voltage (V)","Internal Battery Temperature (�C)","External Power Supply Present","External Power Supply Voltage (V)","External Power Supply Current (mA)","Diagnostic Comment"
"12/05/2020","06:14:27",23.57,-0.512,2.319,-0.44,1,-3.8,-0.28,-0.06,8.251,3.94,29.4,"present ","USB ","USB ",
"12/05/2020","06:16:40",23.46,-2.408,0.299,-0.14,1,-3.8,1.682,-0.32,8.254,3.94,29.5,"present ","USB ","USB ",
"12/05/2020","06:52:12",23.72,-0.693,4.187,-0.97,1,-3.8,-0.346,-0.09,8.244,3.98,30.2,"present ","USB ","USB ",
"12/05/2020","07:30:54",23.69,-0.653,5.651,-1.36,1,-3.8,-0.228,-0.08,8.247,4.01,30.1,"present ","USB ","USB ",
"12/05/2020","08:08:30",23.67,-0.698,7.764,-1.95,1,-3.8,-0.272,-0.09,8.247,4.09,30.1,"present ","USB ","USB ",
"12/05/2020","08:44:58",23.68,-0.616,9.117,-2.3,1,-3.8,-0.326,-0.08,8.247,4.13,29.7,"present ","USB ","USB ",
"12/05/2020","09:21:04",23.55,-0.5,17.081,-4.48,1,-3.8,-0.284,-0.06,8.251,4.18,29.6,"present ","USB ","USB ",
"Serial Number:","PSY1J203",,,,,,,,,,,,,,,
"APP Serial #:","030006D7",,,,,,,,,,,,,,,
"Head Serial #:","J203",,,,,,,,,,,,,,,
"App Ver:","R1-7-8",,,,,,,,,,,,,,,
"COM Ver:","R2-6-7",,,,,,,,,,,,,,,
"Instrument Name:",,,,,,,,,,,,,,,,
"Instrument Comment:",,,,,,,,,,,,,,,,
"Cooling Time:",10,"seconds",,,,,,,,,,,,,,
"Waiting Time:",6,"seconds",,,,,,,,,,,,,,
"Warming Duration:",0,"seconds",,,,,,,,,,,,,,
"Wait before measurement:",15,"seconds",,,,,,,,,,,,,,
"Chamber Heating Duration:",45,"seconds",,,,,,,,,,,,,,
"Chamber Heating Schedule:","continuous ",,,,,,,,,,,,,,,
"C1:",0.027,,,,,,,,,,,,,,,
"C2:",0.325,,,,,,,,,,,,,,,
"Date","Time","Chamber Temperature (�C)","dT (�V)","Wet Bulb Depression (�V)","Corrected Water Potential (MPa)","Intercept","Slope","EDBO","Correction for dT (MPa)","Correction Factor","Internal Battery Voltage (V)","Internal Battery Temperature (�C)","External Power Supply Present","External Power Supply Voltage (V)","External Power Supply Current (mA)","Diagnostic Comment"
"14/05/2020","13:45:13",23.23,-0.211,1.949,-0.32,0.97,-3.65,-0.105,-0.02,8.262,3.98,29.3,"present ","USB ","USB ",
"14/05/2020","14:22:50",23.18,-0.644,4.16,-1.02,0.97,-3.65,-0.175,-0.08,8.265,4.02,29.1,"present ","USB ","USB ",
"14/05/2020","14:57:20",23,-0.696,5.847,-1.52,0.97,-3.65,-0.011,-0.09,8.269,4.1,29.3,"present ","USB ","USB ",
"14/05/2020","15:35:04",23.18,-1.134,7.838,-2.14,0.97,-3.65,0.025,-0.15,8.265,4.14,29.2,"present ","USB ","USB ",
"14/05/2020","16:16:35",23.23,-0.54,9.338,-2.49,0.97,-3.65,-0.121,-0.07,8.262,4.17,28.5,"present ","USB ","USB ",
"14/05/2020","17:02:26",23.22,-0.518,17.887,-4.95,0.97,-3.65,-0.307,-0.07,8.262,4.18,28.4,"present ","USB ","USB ",
"Serial Number:","PSY1J203",,,,,,,,,,,,,,,
"APP Serial #:","030006D7",,,,,,,,,,,,,,,
"Head Serial #:","J203",,,,,,,,,,,,,,,
"App Ver:","R1-7-8",,,,,,,,,,,,,,,
"COM Ver:","R2-6-7",,,,,,,,,,,,,,,
"Instrument Name:",,,,,,,,,,,,,,,,
"Instrument Comment:",,,,,,,,,,,,,,,,
"Cooling Time:",10,"seconds",,,,,,,,,,,,,,
"Waiting Time:",6,"seconds",,,,,,,,,,,,,,
"Warming Duration:",0,"seconds",,,,,,,,,,,,,,
"Wait before measurement:",15,"seconds",,,,,,,,,,,,,,
"Chamber Heating Duration:",45,"seconds",,,,,,,,,,,,,,
"Chamber Heating Schedule:","continuous ",,,,,,,,,,,,,,,
"C1:",0.027,,,,,,,,,,,,,,,
"C2:",0.325,,,,,,,,,,,,,,,
"Date","Time","Chamber Temperature (�C)","dT (�V)","Wet Bulb Depression (�V)","Corrected Water Potential (MPa)","Intercept","Slope","EDBO","Correction for dT (MPa)","Correction Factor","Internal Battery Voltage (V)","Internal Battery Temperature (�C)","External Power Supply Present","External Power Supply Voltage (V)","External Power Supply Current (mA)","Diagnostic Comment"
