Serial Number:,PSY1J203
APP Serial #:,030006D7
Head Serial #:,J203
App Ver:,R1-7-8
COM Ver:,R2-6-7
Instrument Name:,
Instrument Comment:,DF Upper Site 
Cooling Time:,10,seconds
Waiting Time:,6,seconds
Warming Duration:,0,seconds
Wait before measurement:,15,seconds
Chamber Heating Duration:,45,seconds
Chamber Heating Schedule:,continuous 
C1:,0.0270
C2:,0.3250
Date,Time,Chamber Temperature (°C),dT (µV),Wet Bulb Depression (µV),Corrected Water Potential (MPa),Intercept,Slope,EDBO,Correction for dT (MPa),Correction Factor,Internal Battery Voltage (V),Internal Battery Temperature (°C),External Power Supply Present,External Power Supply Voltage (V),External Power Supply Current (mA),Diagnostic Comment
18/08/2021,17:00:00,20.14,3.405,16.752,-3.78,0.61,-4.39,6.297,0.46,8.373,3.85,26.50 ,not present ,0.00 ,0.00 ,
18/08/2021,17:30:00,20.36,2.214,12.991,-2.93,0.61,-4.39,4.070,0.30,8.366,3.84,28.10 ,not present ,0.00 ,0.00 ,
18/08/2021,18:00:00,20.50,0.534,8.052,-1.87,0.61,-4.39,1.349,0.07,8.359,3.84,28.40 ,not present ,0.00 ,0.00 ,
18/08/2021,18:30:00,20.31,-0.053,6.683,-1.61,0.61,-4.39,0.673,0.00,8.366,3.83,27.30 ,not present ,0.00 ,0.00 ,
18/08/2021,19:00:00,19.66,-0.007,6.331,-1.54,0.61,-4.39,0.644,0.00,8.392,3.83,26.30 ,not present ,0.00 ,0.00 ,
18/08/2021,19:30:00,18.91,-0.335,5.094,-1.29,0.61,-4.39,0.138,-0.04,8.417,3.82,25.20 ,not present ,0.00 ,0.00 ,
18/08/2021,20:00:00,18.06,-1.149,2.502,-0.72,0.61,-4.39,-1.233,-0.15,8.451,3.82,23.80 ,not present ,0.00 ,0.00 ,
18/08/2021,20:30:00,16.52,-1.723,0.788,-0.33,0.61,-4.39,-2.283,-0.24,8.506,3.82,19.60 ,not present ,0.00 ,0.00 ,
18/08/2021,21:00:00,15.51,-1.467,0.853,-0.32,0.61,-4.39,-1.930,-0.20,8.544,3.88,28.20 ,present ,24.20 ,106.80 ,
18/08/2021,21:30:00,14.73,-1.595,0.620,-0.28,0.61,-4.39,-2.093,-0.22,8.574,3.95,33.00 ,present ,24.06 ,108.00 ,
18/08/2021,22:00:00,13.91,-1.160,0.925,-0.32,0.61,-4.39,-1.620,-0.16,8.604,4.01,34.09 ,present ,23.86 ,109.50 ,
18/08/2021,22:30:00,13.24,-1.146,1.063,-0.37,0.61,-4.39,-1.517,-0.16,8.631,4.12,33.90 ,present ,23.66 ,110.10 ,
18/08/2021,23:00:00,12.49,-0.968,1.003,-0.34,0.61,-4.39,-1.458,-0.13,8.662,4.19,28.80 ,present ,23.62 ,51.60 ,
18/08/2021,23:30:00,11.78,-0.729,1.313,-0.43,0.61,-4.39,-1.028,-0.10,8.689,4.19,23.20 ,present ,23.49 ,30.00 ,
19/08/2021,00:00:00,11.13,-0.842,1.246,-0.43,0.61,-4.39,-0.835,-0.12,8.712,4.19,18.60 ,present ,23.44 ,27.60 ,
19/08/2021,00:30:00,10.60,-0.748,1.037,-0.35,0.61,-4.39,-1.107,-0.10,8.731,4.19,16.90 ,present ,23.65 ,27.30 ,
19/08/2021,01:00:00,10.07,-0.771,0.957,-0.33,0.61,-4.39,-1.035,-0.11,8.755,4.19,16.10 ,present ,23.68 ,27.00 ,
19/08/2021,01:30:00,9.61,-0.790,0.967,-0.35,0.61,-4.39,-0.866,-0.11,8.755,4.19,15.20 ,present ,23.61 ,27.00 ,
19/08/2021,02:00:00,9.20,-0.704,0.991,-0.35,0.61,-4.39,-0.785,-0.10,8.755,4.19,14.90 ,present ,23.72 ,27.00 ,
19/08/2021,02:30:00,8.81,-0.712,1.045,-0.38,0.61,-4.39,-0.743,-0.10,8.755,4.19,14.60 ,present ,23.75 ,26.70 ,
19/08/2021,03:00:00,8.46,-0.634,1.034,-0.37,0.61,-4.39,-0.680,-0.09,8.755,4.19,14.20 ,present ,23.68 ,26.70 ,
19/08/2021,03:30:00,8.15,-0.626,1.062,-0.39,0.61,-4.39,-0.661,-0.08,8.755,4.19,13.70 ,present ,23.61 ,27.00 ,
19/08/2021,04:00:00,7.86,-0.475,1.093,-0.39,0.61,-4.39,-0.509,-0.06,8.755,4.19,13.60 ,present ,23.61 ,26.70 ,
19/08/2021,04:30:00,7.63,-0.476,1.144,-0.42,0.61,-4.39,-0.471,-0.06,8.755,4.19,13.30 ,present ,23.54 ,26.70 ,
