Serial Number:,PSY1K30G,,,,,,,,,,,,,,,
APP Serial #:,3.00E+10,,,,,,,,,,,,,,,
Head Serial #:,2969,,,,,,,,,,,,,,,
App Ver:,R1-7-8,,,,,,,,,,,,,,,
COM Ver:,R2-6-7,,,,,,,,,,,,,,,
Instrument Name:,,,,,,,,,,,,,,,,
Instrument Comment:,,,,,,,,,,,,,,,,
Cooling Time:,10,seconds,,,,,,,,,,,,,,
Waiting Time:,6,seconds,,,,,,,,,,,,,,
Warming Duration:,0,seconds,,,,,,,,,,,,,,
Wait before measurement:,15,seconds,,,,,,,,,,,,,,
Chamber Heating Duration:,0,seconds,,,,,,,,,,,,,,
Chamber Heating Schedule:,continuous ,,,,,,,,,,,,,,,
C1:,0.027,,,,,,,,,,,,,,,
C2:,0.325,,,,,,,,,,,,,,,
Date,Time,Chamber Temperature (°C),dT (µV),Wet Bulb Depression (µV),Corrected Water Potential (MPa),Intercept,Slope,EDBO,Correction for dT (MPa),Correction Factor,Internal Battery Voltage (V),Internal Battery Temperature (°C),External Power Supply Present,External Power Supply Voltage (V),External Power Supply Current (mA),Diagnostic Comment
25/04/2020,2:47:51,23.73,0.116,2.977,-0.53,1,-3.8,-0.248,0.01,8.244,4.08,28.7,present ,USB ,USB ,
25/04/2020,3:28:51,24.22,-0.293,4.387,-0.95,1,-3.8,-0.429,-0.03,8.226,4.13,29.4,present ,USB ,USB ,
25/04/2020,4:07:57,23.95,-0.198,5.965,-1.37,1,-3.8,-0.255,-0.02,8.237,4.19,29.2,present ,USB ,USB ,
25/04/2020,4:59:45,23.75,-0.062,7.969,-1.91,1,-3.8,-0.394,0,8.244,4.19,28.3,present ,USB ,USB ,
25/04/2020,5:36:47,23.63,-0.113,9.027,-2.21,1,-3.8,-0.496,-0.01,8.247,4.19,28.1,present ,USB ,USB ,
25/04/2020,6:15:13,23.32,-0.138,16.504,-4.3,1,-3.8,-0.202,-0.01,8.258,4.19,28,present ,USB ,USB ,
Serial Number:,PSY1K30G,,,,,,,,,,,,,,,
APP Serial #:,3.00E+10,,,,,,,,,,,,,,,
Head Serial #:,2969,,,,,,,,,,,,,,,
App Ver:,R1-7-8,,,,,,,,,,,,,,,
COM Ver:,R2-6-7,,,,,,,,,,,,,,,
Instrument Name:,,,,,,,,,,,,,,,,
Instrument Comment:,,,,,,,,,,,,,,,,
Cooling Time:,10,seconds,,,,,,,,,,,,,,
Waiting Time:,15,seconds,,,,,,,,,,,,,,
Warming Duration:,0,seconds,,,,,,,,,,,,,,
Wait before measurement:,15,seconds,,,,,,,,,,,,,,
Chamber Heating Duration:,0,seconds,,,,,,,,,,,,,,
Chamber Heating Schedule:,continuous ,,,,,,,,,,,,,,,
C1:,0.027,,,,,,,,,,,,,,,
C2:,0.325,,,,,,,,,,,,,,,
Date,Time,Chamber Temperature (°C),dT (µV),Wet Bulb Depression (µV),Corrected Water Potential (MPa),Intercept,Slope,EDBO,Correction for dT (MPa),Correction Factor,Internal Battery Voltage (V),Internal Battery Temperature (°C),External Power Supply Present,External Power Supply Voltage (V),External Power Supply Current (mA),Diagnostic Comment
29/04/2020,8:21:36,15.91,6.609,0,0,1.56,-3.41,18.428,0.92,8.529,3.77,33.2,present ,20.51,134.39,
Serial Number:,PSY1K30G,,,,,,,,,,,,,,,
APP Serial #:,3.00E+10,,,,,,,,,,,,,,,
Head Serial #:,2969,,,,,,,,,,,,,,,
App Ver:,R1-7-8,,,,,,,,,,,,,,,
COM Ver:,R2-6-7,,,,,,,,,,,,,,,
Instrument Name:,,,,,,,,,,,,,,,,
Instrument Comment:,,,,,,,,,,,,,,,,
Cooling Time:,10,seconds,,,,,,,,,,,,,,
Waiting Time:,15,seconds,,,,,,,,,,,,,,
Warming Duration:,0,seconds,,,,,,,,,,,,,,
Wait before measurement:,15,seconds,,,,,,,,,,,,,,
Chamber Heating Duration:,0,seconds,,,,,,,,,,,,,,
Chamber Heating Schedule:,continuous ,,,,,,,,,,,,,,,
C1:,0.027,,,,,,,,,,,,,,,
C2:,0.325,,,,,,,,,,,,,,,
Date,Time,Chamber Temperature (°C),dT (µV),Wet Bulb Depression (µV),Corrected Water Potential (MPa),Intercept,Slope,EDBO,Correction for dT (MPa),Correction Factor,Internal Battery Voltage (V),Internal Battery Temperature (°C),External Power Supply Present,External Power Supply Voltage (V),External Power Supply Current (mA),Diagnostic Comment
