Serial Number:,PSY1K30H,,,,,,,,,,,,,,,
APP Serial #:,3.00E+05,,,,,,,,,,,,,,,
Head Serial #:,3307,,,,,,,,,,,,,,,
App Ver:,R1-7-8,,,,,,,,,,,,,,,
COM Ver:,R2-6-7,,,,,,,,,,,,,,,
Instrument Name:,,,,,,,,,,,,,,,,
Instrument Comment:,,,,,,,,,,,,,,,,
Cooling Time:,10,seconds,,,,,,,,,,,,,,
Waiting Time:,6,seconds,,,,,,,,,,,,,,
Warming Duration:,0,seconds,,,,,,,,,,,,,,
Wait before measurement:,15,seconds,,,,,,,,,,,,,,
Chamber Heating Duration:,0,seconds,,,,,,,,,,,,,,
Chamber Heating Schedule:,continuous ,,,,,,,,,,,,,,,
C1:,0.027,,,,,,,,,,,,,,,
C2:,0.325,,,,,,,,,,,,,,,
Date,Time,Chamber Temperature (°C),dT (µV),Wet Bulb Depression (µV),Corrected Water Potential (MPa),Intercept,Slope,EDBO,Correction for dT (MPa),Correction Factor,Internal Battery Voltage (V),Internal Battery Temperature (°C),External Power Supply Present,External Power Supply Voltage (V),External Power Supply Current (mA),Diagnostic Comment
25/04/2020,2:48:50,24.76,-0.263,2.326,-0.38,1,-3.8,-0.282,-0.03,8.208,4.01,30,present ,USB ,USB ,
25/04/2020,3:28:59,24.37,-0.368,4.384,-0.96,1,-3.8,-0.104,-0.04,8.222,4.09,29.9,present ,USB ,USB ,
25/04/2020,4:09:06,24.03,-0.242,6.077,-1.41,1,-3.8,-0.159,-0.03,8.233,4.14,29.7,present ,USB ,USB ,
25/04/2020,4:59:38,23.71,-0.365,7.88,-1.93,1,-3.8,-0.223,-0.04,8.244,4.18,29.2,present ,USB ,USB ,
25/04/2020,5:36:43,24.09,-0.572,9.408,-2.35,1,-3.8,-0.34,-0.07,8.233,4.18,28.9,present ,USB ,USB ,
25/04/2020,6:15:07,23.8,-0.583,18.953,-4.96,1,-3.8,-0.282,-0.07,8.24,4.18,28.7,present ,USB ,USB ,
Serial Number:,PSY1K30H,,,,,,,,,,,,,,,
APP Serial #:,3.00E+05,,,,,,,,,,,,,,,
Head Serial #:,3307,,,,,,,,,,,,,,,
App Ver:,R1-7-8,,,,,,,,,,,,,,,
COM Ver:,R2-6-7,,,,,,,,,,,,,,,
Instrument Name:,,,,,,,,,,,,,,,,
