,Chamber Temperature (C),dT (C),Wet Bulb Depression,Corrected Water Potential (MPa)
2021-07-30 17:00:00,28.21,2.504,12.935,-2.4858389712479987
2021-07-30 17:30:00,27.71,0.528,7.118,-1.5470628240063664
2021-07-30 18:00:00,27.72,0.102,5.93,-1.207739166978335
2021-07-30 18:30:00,27.63,-0.087,5.084,-1.0243108038954911
2021-07-30 19:00:00,27.26,-0.275,4.392,-0.8853489251069533
2021-07-30 19:30:00,26.92,-0.376,3.936,-0.7857446077718838
2021-07-30 20:00:00,26.53,-0.459,3.387,-0.6642633081805984
2021-07-30 20:30:00,25.97,-0.505,2.965,-0.5678762618621829
2021-07-30 21:00:00,25.3,-0.421,2.525,-0.4621501246460908
2021-07-30 21:30:00,24.55,-0.347,2.177,-0.3764134328266892
2021-07-30 22:00:00,24.39,-0.862,1.832,-0.3357366918194016
2021-07-30 22:30:00,23.67,-0.788,1.558,-0.2700026386508274
2021-07-30 23:00:00,22.6,-0.6,1.369,-0.20534364780529854
2021-07-30 23:30:00,21.6,-0.68,1.243,-0.17788153916383767
2021-07-31 00:00:00,20.7,-0.461,1.153,-0.14320671641334462
2021-07-31 00:30:00,20.03,-0.437,1.118,-0.13106978502139066
2021-07-31 01:00:00,19.39,-0.586,1.029,-0.12680383818996488
2021-07-31 01:30:00,18.61,-0.469,0.952,-0.10426066952977102
2021-07-31 02:00:00,18.12,-0.526,0.94,-0.1057366918194016
2021-07-31 02:30:00,17.35,-0.482,0.846,-0.08212901543947183
2021-07-31 03:00:00,16.72,-0.539,0.784,-0.07
2021-07-31 03:30:00,16.2,-0.539,0.742,-0.057868345909700795
2021-07-31 04:00:00,15.53,-0.484,0.653,-0.03320445471263543
2021-07-31 04:30:00,14.95,-0.572,0.613,-0.030160742384109356
2021-07-31 05:00:00,14.25,-0.371,0.0,-0.031428948378689626
2021-07-31 05:30:00,13.66,-0.507,0.525,-0.032857142857142856
2021-07-31 06:00:00,13.13,-0.351,0.0,-0.03428571428571428
2021-07-31 06:30:00,12.64,-0.33,0.0,-0.03571428571428571
2021-07-31 07:00:00,12.26,-0.27,0.0,-0.037142857142857144
2021-07-31 07:30:00,11.97,-0.271,0.574,-0.03858424487544724
2021-07-31 08:00:00,11.94,-0.235,0.683,-0.04522776248525455
2021-07-31 08:30:00,12.18,-0.043,0.877,-0.10283704330656974
2021-07-31 09:00:00,12.95,0.142,1.399,-0.25468801600462987
2021-07-31 09:30:00,13.66,0.23,1.772,-0.38215012464609077
2021-07-31 10:00:00,14.56,0.293,2.233,-0.5296201492400338
2021-07-31 10:30:00,15.69,0.297,2.957,-0.7446695454488382
2021-07-31 11:00:00,16.93,0.323,3.606,-0.9278472367030819
2021-07-31 11:30:00,18.26,0.384,4.289,-1.0899551429359347
2021-07-31 12:00:00,19.73,0.594,5.085,-1.2339426700758307
2021-07-31 12:30:00,21.12,0.467,5.303,-1.2556839188028541
2021-07-31 13:00:00,22.33,0.47,5.373,-1.2310407598622894
2021-07-31 13:30:00,23.5,0.523,5.533,-1.2025326140568842
2021-07-31 14:00:00,24.24,0.228,5.174,-1.127462108641461
2021-07-31 14:30:00,24.95,0.262,5.217,-1.0968143927932743
2021-07-31 15:00:00,25.46,0.144,5.043,-1.0521237381378172
2021-07-31 15:30:00,25.86,0.034,4.906,-1.016806476840792
2021-07-31 16:00:00,26.11,0.005,4.693,-0.9642685854822531
2021-07-31 16:30:00,26.05,0.044,4.64,-0.9389434082327462
2021-07-31 17:00:00,26.63,0.018,4.603,-0.9110618690689085
2021-07-31 17:30:00,26.76,-0.003,4.515,-0.8878630686080461
2021-07-31 18:00:00,26.91,-0.076,4.343,-0.8499894453966905
2021-07-31 18:30:00,27.01,-0.093,4.183,-0.8078604299572187
2021-07-31 19:00:00,26.93,-0.219,3.873,-0.749986806745863
2021-07-31 19:30:00,26.87,-0.266,3.609,-0.6867932835866554
2021-07-31 20:00:00,26.76,-0.18,3.287,-0.601051314465599
2021-07-31 20:30:00,26.47,-0.298,2.907,-0.5157314145177468
2021-07-31 21:00:00,25.92,-0.451,2.353,-0.4032067164133446
2021-07-31 21:30:00,25.38,-0.628,1.895,-0.31320935506417197
2021-07-31 22:00:00,24.79,-0.81,1.543,-0.2468091154916196
2021-07-31 22:30:00,23.85,-0.74,1.216,-0.16428177873639002
2021-07-31 23:00:00,22.57,-0.675,1.027,-0.11427914008556266
2021-07-31 23:30:00,21.56,-0.671,0.969,-0.09574196912105634
2021-08-01 00:00:00,20.67,-0.469,0.871,-0.05427122413308053
2021-08-01 00:30:00,19.78,-0.433,0.812,-0.041072423672218035
2021-08-01 01:00:00,19.04,-0.546,0.766,-0.036801199539137505
2021-08-01 01:30:00,18.32,-0.413,0.703,-0.013201439111689866
2021-08-01 02:00:00,17.67,-0.425,0.688,-0.010010554603309494
2021-08-01 02:30:00,17.09,-0.473,0.656,-0.011064507719735914
2021-08-01 03:00:00,16.69,-0.371,0.699,-0.017868345909700798
2021-08-01 03:30:00,16.12,-0.315,0.695,-0.01213693139195395
2021-08-01 04:00:00,15.9,-0.38,0.679,-0.02106714637056329
2021-08-01 04:30:00,15.6,-0.382,0.719,-0.03679856088831013
2021-08-01 05:00:00,15.26,-0.227,0.74,-0.03212637678864446
2021-08-01 05:30:00,15.04,-0.333,0.725,-0.037863068608046044
2021-08-01 06:00:00,14.71,-0.383,0.689,-0.028938130931091457
2021-08-01 06:30:00,14.27,-0.259,0.665,-0.01534100915447119
2021-08-01 07:00:00,13.93,-0.355,0.696,-0.03788945511631978
2021-08-01 07:30:00,13.72,-0.286,0.751,-0.05642662608082609
