Serial Number:,PSY1M407,,,,,,,,,,,,,,,
APP Serial #:,03000A84,,,,,,,,,,,,,,,
Head Serial #:,2301,,,,,,,,,,,,,,,
App Ver:,R1-7-8,,,,,,,,,,,,,,,
COM Ver:,R2-6-7,,,,,,,,,,,,,,,
Instrument Name:,,,,,,,,,,,,,,,,
Instrument Comment:,,,,,,,,,,,,,,,,
Cooling Time:,10,seconds,,,,,,,,,,,,,,
Waiting Time:,6,seconds,,,,,,,,,,,,,,
Warming Duration:,0,seconds,,,,,,,,,,,,,,
Wait before measurement:,15,seconds,,,,,,,,,,,,,,
Chamber Heating Duration:,0,seconds,,,,,,,,,,,,,,
Chamber Heating Schedule:,continuous ,,,,,,,,,,,,,,,
C1:,0.027,,,,,,,,,,,,,,,
C2:,0.325,,,,,,,,,,,,,,,
Date,Time,Chamber Temperature (°C),dT (µV),Wet Bulb Depression (µV),Corrected Water Potential (MPa),Intercept,Slope,EDBO,Correction for dT (MPa),Correction Factor,Internal Battery Voltage (V),Internal Battery Temperature (°C),External Power Supply Present,External Power Supply Voltage (V),External Power Supply Current (mA),Diagnostic Comment
28/04/2022,4:47:39,25.85,0.392,4.393,-0.81,1,-3.8,-0.279,0.05,8.168,4.16,24.6,present ,USB ,USB ,
28/04/2022,4:57:48,24.91,-0.271,3.464,-0.68,1,-3.8,-0.63,-0.03,8.201,4.17,25.3,present ,USB ,USB ,
Serial Number:,PSY1M407,,,,,,,,,,,,,,,
APP Serial #:,03000A84,,,,,,,,,,,,,,,
Head Serial #:,2301,,,,,,,,,,,,,,,
App Ver:,R1-7-8,,,,,,,,,,,,,,,
COM Ver:,R2-6-7,,,,,,,,,,,,,,,
Instrument Name:,,,,,,,,,,,,,,,,
Instrument Comment:,03DF ,,,,,,,,,,,,,,,
Cooling Time:,10,seconds,,,,,,,,,,,,,,
Waiting Time:,6,seconds,,,,,,,,,,,,,,
Warming Duration:,0,seconds,,,,,,,,,,,,,,
Wait before measurement:,15,seconds,,,,,,,,,,,,,,
Chamber Heating Duration:,0,seconds,,,,,,,,,,,,,,
Chamber Heating Schedule:,continuous ,,,,,,,,,,,,,,,
C1:,0.027,,,,,,,,,,,,,,,
C2:,0.325,,,,,,,,,,,,,,,
Date,Time,Chamber Temperature (°C),dT (µV),Wet Bulb Depression (µV),Corrected Water Potential (MPa),Intercept,Slope,EDBO,Correction for dT (MPa),Correction Factor,Internal Battery Voltage (V),Internal Battery Temperature (°C),External Power Supply Present,External Power Supply Voltage (V),External Power Supply Current (mA),Diagnostic Comment
28/04/2022,5:34:17,24.22,0.156,5.505,-1.19,1,-3.8,-0.199,0.02,8.226,4.17,24.8,present ,USB ,USB ,
28/04/2022,6:13:39,23.87,0.286,7.281,-1.67,1,-3.8,-0.172,0.03,8.24,4.17,25.2,present ,USB ,USB ,
28/04/2022,6:52:28,24.63,0.041,8.931,-2.1,1,-3.8,-0.174,0,8.212,4.17,24.9,present ,USB ,USB ,
28/04/2022,7:36:08,24.11,-0.47,10.872,-2.73,1,-3.8,-0.754,-0.06,8.229,4.17,25.5,present ,USB ,USB ,
28/04/2022,8:24:46,25.83,0.296,18.974,-4.58,1,-3.8,0.128,0.03,8.168,4.17,25.3,present ,USB ,USB ,
Serial Number:,PSY1M407,,,,,,,,,,,,,,,
APP Serial #:,03000A84,,,,,,,,,,,,,,,
Head Serial #:,2301,,,,,,,,,,,,,,,
App Ver:,R1-7-8,,,,,,,,,,,,,,,
COM Ver:,R2-6-7,,,,,,,,,,,,,,,
Instrument Name:,,,,,,,,,,,,,,,,
Instrument Comment:,03DF ,,,,,,,,,,,,,,,
Cooling Time:,10,seconds,,,,,,,,,,,,,,
Waiting Time:,6,seconds,,,,,,,,,,,,,,
Warming Duration:,0,seconds,,,,,,,,,,,,,,
Wait before measurement:,15,seconds,,,,,,,,,,,,,,
Chamber Heating Duration:,45,seconds,,,,,,,,,,,,,,
