Serial Number:,PSY1I30Z
APP Serial #:,03000795
Head Serial #:,2831
App Ver:,R1-7-8
COM Ver:,R2-6-6
Instrument Name:,
Instrument Comment:,ES-LS 
Cooling Time:,10,seconds
Waiting Time:,6,seconds
Warming Duration:,0,seconds
Wait before measurement:,15,seconds
Chamber Heating Duration:,45,seconds
Chamber Heating Schedule:,continuous 
C1:,0.0270
C2:,0.3250
Date,Time,Chamber Temperature (°C),dT (µV),Wet Bulb Depression (µV),Corrected Water Potential (MPa),Intercept,Slope,EDBO,Correction for dT (MPa),Correction Factor,Internal Battery Voltage (V),Internal Battery Temperature (°C),External Power Supply Present,External Power Supply Voltage (V),External Power Supply Current (mA),Diagnostic Comment
19/05/2021,15:00:00,3.18,-2.157,0.304,-0.42,0.21,-4.46,-0.985,-0.30,8.755,4.08,3.60 ,not present ,0.00 ,0.00 ,
19/05/2021,15:30:00,2.29,-3.332,0.152,-0.51,0.21,-4.46,-1.342,-0.47,8.755,4.07,2.30 ,not present ,0.00 ,0.00 ,
19/05/2021,16:00:00,1.69,-3.052,0.106,-0.45,0.21,-4.46,-1.168,-0.43,8.755,4.07,1.80 ,not present ,0.00 ,0.00 ,
19/05/2021,16:30:00,1.18,-2.361,0.117,-0.36,0.21,-4.46,-1.093,-0.33,8.755,4.06,1.30 ,not present ,0.00 ,0.00 ,
19/05/2021,17:00:00,0.82,-1.838,0.169,-0.32,0.21,-4.46,-0.964,-0.26,8.755,4.06,1.00 ,not present ,0.00 ,0.00 ,
19/05/2021,17:30:00,0.49,-1.087,0.223,-0.25,0.21,-4.46,-0.977,-0.15,8.755,4.05,0.70 ,not present ,0.00 ,0.00 ,
19/05/2021,18:00:00,0.27,-0.839,0.282,-0.26,0.21,-4.46,-0.694,-0.12,8.755,4.04,0.70 ,not present ,0.00 ,0.00 ,
19/05/2021,18:30:00,0.08,-0.633,0.332,-0.26,0.21,-4.46,-0.617,-0.09,8.755,4.03,0.40 ,not present ,0.00 ,0.00 ,
19/05/2021,19:00:00,-0.08,-0.365,0.434,-0.30,0.21,-4.46,-0.632,-0.05,8.755,4.01,0.40 ,not present ,0.00 ,0.00 ,
19/05/2021,19:30:00,-0.17,-0.386,0.456,-0.32,0.21,-4.46,-0.567,-0.05,8.755,3.99,0.30 ,not present ,0.00 ,0.00 ,
19/05/2021,20:00:00,0.15,-0.321,0.503,-0.34,0.21,-4.46,-0.554,-0.04,8.755,4.10,8.20 ,present ,25.31 ,54.00 ,
19/05/2021,20:30:00,0.26,-0.150,0.493,-0.30,0.21,-4.46,-0.563,-0.02,8.755,4.12,9.70 ,present ,25.24 ,54.30 ,
19/05/2021,21:00:00,0.25,-0.233,0.508,-0.32,0.21,-4.46,-0.610,-0.03,8.755,4.16,10.40 ,present ,25.38 ,53.40 ,
19/05/2021,21:30:00,0.17,-0.164,0.531,-0.33,0.21,-4.46,-0.460,-0.02,8.755,4.18,9.50 ,present ,25.36 ,41.70 ,
19/05/2021,22:00:00,-0.03,0.064,0.555,-0.32,0.21,-4.46,-0.479,0.00,8.755,4.18,6.60 ,present ,25.37 ,30.00 ,
19/05/2021,22:30:00,-0.16,0.005,0.506,-0.30,0.21,-4.46,-0.501,0.00,8.755,4.18,5.20 ,present ,25.32 ,27.90 ,
19/05/2021,23:00:00,-0.18,0.047,0.550,-0.33,0.21,-4.46,-0.485,0.00,8.755,4.18,4.80 ,present ,25.28 ,27.60 ,
19/05/2021,23:30:00,-0.21,0.028,0.511,-0.30,0.21,-4.46,-0.455,0.00,8.755,4.18,4.60 ,present ,25.21 ,27.30 ,
20/05/2021,00:00:00,-0.20,-0.055,0.512,-0.31,0.21,-4.46,-0.486,0.00,8.755,4.18,4.50 ,present ,25.14 ,27.30 ,
20/05/2021,00:30:00,-0.19,-0.081,0.499,-0.31,0.21,-4.46,-0.439,-0.01,8.755,4.18,4.19 ,present ,25.10 ,27.30 ,
