Serial Number:,PSY1M409
APP Serial #:,03000AD3
Head Serial #:,2270
App Ver:,R1-7-8
COM Ver:,R2-6-7
Instrument Name:,
Instrument Comment:,
Cooling Time:,10,seconds
Waiting Time:,6,seconds
Warming Duration:,0,seconds
Wait before measurement:,15,seconds
Chamber Heating Duration:,0,seconds
Chamber Heating Schedule:,continuous 
C1:,0.0270
C2:,0.3250
Date,Time,Chamber Temperature (°C),dT (µV),Wet Bulb Depression (µV),Corrected Water Potential (MPa),Intercept,Slope,EDBO,Correction for dT (MPa),Correction Factor,Internal Battery Voltage (V),Internal Battery Temperature (°C),External Power Supply Present,External Power Supply Voltage (V),External Power Supply Current (mA),Diagnostic Comment
28/04/2022,04:51:33,25.79,1.085,4.270,-0.69,1.00,-3.80,0.714,0.14,8.173,4.15,24.60 ,present ,USB ,USB ,
Serial Number:,PSY1M409
APP Serial #:,03000AD3
Head Serial #:,2270
App Ver:,R1-7-8
COM Ver:,R2-6-7
Instrument Name:,ES42 
Instrument Comment:,
Cooling Time:,10,seconds
Waiting Time:,6,seconds
Warming Duration:,0,seconds
Wait before measurement:,15,seconds
Chamber Heating Duration:,0,seconds
Chamber Heating Schedule:,continuous 
C1:,0.0270
C2:,0.3250
Date,Time,Chamber Temperature (°C),dT (µV),Wet Bulb Depression (µV),Corrected Water Potential (MPa),Intercept,Slope,EDBO,Correction for dT (MPa),Correction Factor,Internal Battery Voltage (V),Internal Battery Temperature (°C),External Power Supply Present,External Power Supply Voltage (V),External Power Supply Current (mA),Diagnostic Comment
28/04/2022,05:38:20,24.23,0.217,4.508,-0.91,1.00,-3.80,-0.045,0.02,8.226,4.15,24.90 ,present ,USB ,USB ,
28/04/2022,06:10:07,23.79,0.269,7.053,-1.61,1.00,-3.80,0.164,0.03,8.244,4.15,25.20 ,present ,USB ,USB ,
28/04/2022,06:54:46,24.75,0.302,9.189,-2.13,1.00,-3.80,-0.038,0.04,8.208,4.15,25.00 ,present ,USB ,USB ,
28/04/2022,07:38:44,24.35,-0.273,10.854,-2.68,1.00,-3.80,-0.505,-0.03,8.222,4.18,26.20 ,present ,USB ,USB ,
28/04/2022,08:17:01,27.50,0.692,24.486,-5.68,1.00,-3.80,0.388,0.09,8.109,4.18,25.00 ,present ,USB ,USB ,
Serial Number:,PSY1M409
APP Serial #:,03000AD3
Head Serial #:,2270
App Ver:,R1-7-8
COM Ver:,R2-6-7
Instrument Name:,ES42 
Instrument Comment:,
Cooling Time:,10,seconds
Waiting Time:,6,seconds
Warming Duration:,0,seconds
Wait before measurement:,15,seconds
Chamber Heating Duration:,45,seconds
Chamber Heating Schedule:,continuous 
C1:,0.0270
C2:,0.3250
Date,Time,Chamber Temperature (°C),dT (µV),Wet Bulb Depression (µV),Corrected Water Potential (MPa),Intercept,Slope,EDBO,Correction for dT (MPa),Correction Factor,Internal Battery Voltage (V),Internal Battery Temperature (°C),External Power Supply Present,External Power Supply Voltage (V),External Power Supply Current (mA),Diagnostic Comment
28/04/2022,17:30:00,17.36,-1.740,6.042,-1.67,0.98,-4.64,2.633,-0.24,8.476,4.16,10.80 ,not present ,0.00 ,0.00 ,
28/04/2022,18:00:00,16.89,-1.561,2.898,-0.80,0.98,-4.64,-0.576,-0.21,8.495,4.15,10.10 ,not present ,0.00 ,0.00 ,
28/04/2022,18:30:00,15.87,-0.476,0.000,0.00,0.98,-4.64,-2.437,-0.06,8.533,4.14,9.50 ,not present ,0.00 ,0.00 ,
28/04/2022,19:00:00,15.79,-0.438,0.000,0.00,0.98,-4.64,-2.348,-0.06,8.536,4.14,9.70 ,not present ,0.00 ,0.00 ,
28/04/2022,19:30:00,14.85,0.261,0.000,0.00,0.98,-4.64,-4.861,0.03,8.570,4.13,9.30 ,not present ,0.00 ,0.00 ,
28/04/2022,20:00:00,13.39,0.925,0.000,0.00,0.98,-4.64,-5.903,0.13,8.627,4.12,7.70 ,not present ,0.00 ,0.00 ,
28/04/2022,20:30:00,12.05,1.782,0.000,0.00,0.98,-4.64,-7.292,0.25,8.677,4.12,6.90 ,not present ,0.00 ,0.00 ,
28/04/2022,21:00:00,10.03,2.324,0.000,0.00,0.98,-4.64,-9.075,0.33,8.755,4.17,13.30 ,present ,24.20 ,80.40 ,
28/04/2022,21:30:00,7.99,2.291,0.000,0.00,0.98,-4.64,-8.633,0.32,8.755,4.16,7.30 ,present ,24.02 ,34.20 ,
28/04/2022,22:00:00,6.28,1.627,0.000,0.00,0.98,-4.64,-7.062,0.23,8.755,4.17,6.20 ,present ,23.95 ,33.59 ,
28/04/2022,22:30:00,5.01,1.460,0.000,0.00,0.98,-4.64,-5.995,0.20,8.755,4.17,6.00 ,present ,23.80 ,33.59 ,
28/04/2022,23:00:00,3.72,1.056,0.000,0.00,0.98,-4.64,-5.150,0.15,8.755,4.17,4.69 ,present ,23.81 ,29.70 ,
28/04/2022,23:30:00,2.71,0.687,0.000,0.00,0.98,-4.64,-3.994,0.09,8.755,4.18,4.00 ,present ,23.69 ,28.50 ,
29/04/2022,00:00:00,1.95,0.623,0.000,0.00,0.98,-4.64,-3.740,0.08,8.755,4.17,4.00 ,present ,23.66 ,28.50 ,
29/04/2022,00:30:00,1.20,0.404,0.000,0.00,0.98,-4.64,-3.209,0.05,8.755,4.17,3.60 ,present ,23.62 ,28.50 ,
