,Chamber Temperature (C),dT (C),Wet Bulb Depression,Corrected Water Potential (MPa)
2022-04-28 17:30:00,18.27,21.558,7.406,-0.09931270438940286
2022-04-28 18:00:00,18.76,18.274,6.274,-0.025027124665189367
2022-04-28 18:30:00,18.65,14.621,5.234,-0.08106070673191243
2022-04-28 19:00:00,19.13,22.083,0.0,-0.38007652087399385
2022-04-28 19:30:00,18.08,13.08,0.0,-0.7100237478574464
2022-04-28 20:00:00,15.45,-4.425,1.44,-1.0495489056676948
2022-04-28 20:30:00,11.7,-11.418,0.243,-1.4278668695958694
2022-04-28 21:00:00,8.75,-12.934,0.048,-1.5542011428977376
2022-04-28 21:30:00,6.59,-12.064,0.046,-1.4417687975722933
2022-04-28 22:00:00,4.87,-10.413,-0.024,-1.177456831339806
2022-04-28 22:30:00,3.54,-8.858,-0.022,-0.9553647570119175
2022-04-28 23:00:00,2.52,-7.802,-0.032,-0.7789935425984663
2022-04-28 23:30:00,1.67,-6.358,-0.011,-0.6202889742948393
2022-04-29 00:00:00,1.02,-6.617,-0.034,-0.5961613996434331
2022-04-29 00:30:00,0.47,-5.849,-0.039,-0.497448915387324
2022-04-29 01:00:00,0.01,-5.622,-0.053,-0.43787362321135553
2022-04-29 01:30:00,-0.34,-4.911,-0.026,-0.3681480428974024
2022-04-29 02:00:00,-0.67,-4.323,-0.03,-0.39858517967389373
2022-04-29 02:30:00,-0.83,-11.39,-0.027,-1.2369803138185638
2022-04-29 03:00:00,-0.69,-14.138,0.002,-1.6509097906402574
2022-04-29 03:30:00,-0.82,-13.921,-0.22,-1.512453852567382
2022-04-29 04:00:00,-1.07,-16.054,-0.013,-1.809372681346278
2022-04-29 04:30:00,-1.1,-8.983,-0.035,-1.0647400247195002
2022-04-29 05:00:00,-1.05,-9.668,-0.005,-1.0692758782369953
2022-04-29 05:30:00,-1.15,-10.886,-0.055,-1.2048793602188563
2022-04-29 06:00:00,-1.23,-12.515,-0.032,-1.4114798232774541
2022-04-29 06:30:00,-0.01,-11.739,-0.025,-1.3317371337623651
2022-04-29 07:00:00,1.04,-9.931,-0.038,-1.0874805791972526
2022-04-29 07:30:00,1.12,-8.534,-0.033,-0.8949558810928503
2022-04-29 08:00:00,1.04,-7.872,-0.004,-0.8039796111874138
2022-04-29 08:30:00,0.8,-6.772,-0.054,-0.6057376813134618
2022-04-29 09:00:00,0.46,-4.804,-0.021,-0.3828561002289159
2022-04-29 09:30:00,-0.03,-1.486,0.0,-0.32380640116143505
2022-04-29 10:00:00,-0.59,9.815,0.0,-0.2875
2022-04-29 10:30:00,-0.08,21.169,0.0,-0.25125
2022-04-29 11:00:00,0.46,14.687,0.0,-0.215
2022-04-29 11:30:00,1.25,18.032,0.0,-0.17875
2022-04-29 12:00:00,2.24,20.758,0.0,-0.14250000000000002
2022-04-29 12:30:00,3.65,19.279,0.0,-0.10629122891917772
2022-04-29 13:00:00,5.9,15.245,3.299,-0.08667976917305956
2022-04-29 13:30:00,7.06,12.721,3.189,-0.17559913113040376
2022-04-29 14:00:00,9.12,15.416,0.0,-0.17494194968179777
2022-04-29 14:30:00,10.55,11.912,3.527,-0.1509543230330721
2022-04-29 15:00:00,12.35,15.724,4.563,-0.07922314724968975
2022-04-29 15:30:00,14.12,13.448,4.407,-0.13573405316857423
2022-04-29 16:00:00,15.77,16.514,5.588,-0.1661218198810225
2022-04-29 16:30:00,17.41,15.486,5.377,-0.10603182296617147
2022-04-29 17:00:00,18.23,17.055,6.131,-0.15788466991927547
2022-04-29 17:30:00,18.31,19.245,0.0,-0.2833526834394007
2022-04-29 18:00:00,19.98,22.73,0.0,-0.41661301409984336
2022-04-29 18:30:00,18.57,3.364,2.909,-0.5283189481373957
2022-04-29 19:00:00,17.71,4.316,2.951,-0.5088305430107246
2022-04-29 19:30:00,18.31,14.421,0.0,-0.6801424871446782
2022-04-29 20:00:00,16.91,-1.928,1.907,-0.9087944814494172
2022-04-29 20:30:00,13.32,-10.432,0.335,-1.3136325865743723
2022-04-29 21:00:00,10.52,-12.185,0.074,-1.4531339965271741
2022-04-29 21:30:00,8.5,-11.429,0.043,-1.3471150840284194
2022-04-29 22:00:00,6.85,-9.982,-0.004,-1.1274568313398063
2022-04-29 22:30:00,5.45,-8.689,0.014,-0.9500554116673747
2022-04-29 23:00:00,4.32,-7.783,-0.035,-0.7949743516486418
2022-04-29 23:30:00,3.32,-7.441,-0.012,-0.7489486855344009
2022-04-30 00:00:00,2.42,-7.251,-0.021,-0.702508866199438
2022-04-30 00:30:00,1.67,-6.42,-0.015,-0.6000026386508273
2022-04-30 01:00:00,1.24,-5.656,-0.011,-0.49856355747278003
2022-04-30 01:30:00,0.7,-5.654,-0.044,-0.4621527632969182
2022-04-30 02:00:00,0.17,-5.464,-0.027,-0.4468011995391375
2022-04-30 02:30:00,-0.29,-5.332,-0.043,-0.4122939311161827
2022-04-30 03:00:00,-0.52,-5.113,-0.029,-0.45579705611718047
2022-04-30 03:30:00,-0.6,-14.3,-0.001,-0.9850422184132379
2022-04-30 04:00:00,-0.82,-13.785,-0.072,-1.5314171343056828
2022-04-30 04:30:00,-0.96,-14.386,-0.032,-1.75703348487043
2022-04-30 05:00:00,-1.11,-17.466,0.01,-2.0929508929366802
2022-04-30 05:30:00,-1.2,-9.98,-0.159,-1.6048707061094585
2022-04-30 06:00:00,-1.26,-9.61,-0.055,-1.0646850526825518
2022-04-30 06:30:00,-0.27,-9.36,-0.031,-0.9851879253772415
2022-04-30 07:00:00,0.31,-8.624,-0.062,-0.8620261080572043
2022-04-30 07:30:00,0.51,-7.773,-0.062,-0.7090738644602836
2022-04-30 08:00:00,0.61,-4.854,-0.059,-0.36732373646144134
2022-04-30 08:30:00,0.24,-4.392,-0.047,-0.2530364814057371
2022-04-30 09:00:00,-0.03,-2.527,-0.01,-0.07456283707874725
2022-04-30 09:30:00,-0.62,0.919,0.0,-0.0600606889690296
2022-04-30 10:00:00,-0.5,8.68,0.0,-0.07
2022-04-30 10:30:00,-0.12,17.686,0.0,-0.08
2022-04-30 11:00:00,0.42,12.794,0.0,-0.09
2022-04-30 11:30:00,0.97,14.181,0.0,-0.1
2022-04-30 12:00:00,1.96,10.639,0.0,-0.11
2022-04-30 12:30:00,3.66,12.038,0.0,-0.12005541166737485
2022-04-30 13:00:00,5.47,10.489,2.438,-0.15236257806693632
2022-04-30 13:30:00,6.32,6.247,2.044,-0.3083795324474802
2022-04-30 14:00:00,7.45,9.189,2.53,-0.1984400329885039
2022-04-30 14:30:00,8.6,12.117,0.0,-0.18337906994767447
2022-04-30 15:00:00,10.6,15.123,0.0,-0.18672911473624784
2022-04-30 15:30:00,10.96,7.766,2.646,-0.2152338086797697
2022-04-30 16:00:00,10.48,1.246,1.486,-0.3958583525441811
2022-04-30 16:30:00,10.91,4.105,2.046,-0.36166208920220233
2022-04-30 17:00:00,11.13,4.621,2.234,-0.3715103247503864
2022-04-30 17:30:00,10.37,1.53,1.38,-0.3460494139716873
2022-04-30 18:00:00,10.86,2.426,1.786,-0.43957793082679586
2022-04-30 18:30:00,9.55,-2.993,0.775,-0.5836906368925745
2022-04-30 19:00:00,8.79,-2.229,0.685,-0.48598344770100294
2022-04-30 19:30:00,8.28,-2.389,0.625,-0.48070048886473393
2022-04-30 20:00:00,7.49,-3.901,0.436,-0.5550573121612865
2022-04-30 20:30:00,6.75,-3.702,0.407,-0.5331618593492792
2022-04-30 21:00:00,6.16,-4.157,0.302,-0.5157314145177468
2022-04-30 21:30:00,5.96,-4.008,0.257,-0.4710645077197359
2022-04-30 22:00:00,5.45,-3.796,0.234,-0.4321342927411266
2022-04-30 22:30:00,4.97,-3.771,0.207,-0.40681175414244697
2022-04-30 23:00:00,4.53,-3.525,0.193,-0.36638968496924285
2022-04-30 23:30:00,4.09,-3.363,0.222,-0.36146282903549365
2022-05-01 00:00:00,3.72,-3.197,0.161,-0.30212109948698973
2022-05-01 00:30:00,3.46,-2.886,0.161,-0.2510882555771823
2022-05-01 01:00:00,3.22,-2.466,0.178,-0.21535947971026279
2022-05-01 01:30:00,2.99,-2.672,0.152,-0.22323574157244572
2022-05-01 02:00:00,2.66,-2.892,0.155,-0.26532253859867955
2022-05-01 02:30:00,2.35,-3.265,0.191,-0.3361086266268856
2022-05-01 03:00:00,2.19,-3.2,0.162,-0.31105659176725375
2022-05-01 03:30:00,1.8,-3.021,0.146,-0.28851870040871475
2022-05-01 04:00:00,1.4,-3.068,0.186,-0.31291774211850526
2022-05-01 04:30:00,1.22,-2.652,0.142,-0.22532517724950693
2022-05-01 05:00:00,1.08,-2.231,0.138,-0.1675227976104905
2022-05-01 05:30:00,1.04,-2.174,0.155,-0.17854508691698842
2022-05-01 06:00:00,0.87,-3.025,0.12,-0.24713355458421093
2022-05-01 06:30:00,0.52,-2.419,0.166,-0.20970457566980485
